Total protein by cell line	HCC1806	MCF10A	HCC38	BT549	HS578T	MDAMB231	SKBR3	MCF7	HCC70	BT20
SNX1	-1.0627	-1.9945	-0.58244	-0.19059	0.18595	0.24538	0.57463	1.4203	0.49073	0.91321
LRSAM1	-1.2508	-1.3512	-0.87081	0.01097	0.13855	0.17017	0.07455	2.0534	0.34623	0.67895
TBC1D9	-1.3725	-1.1006	-0.91687	0.013709	0.18758	0.18518	0.065432	2.1559	0.25642	0.52581
NUCKS1	-0.77506	-1.2938	-1.3192	0.18605	-0.022719	0.14437	0.18083	2.1473	0.41205	0.34009
STK25	-0.97737	-1.3481	-0.50537	-0.70402	-0.2845	0.34991	-0.20374	1.814	0.60359	1.2556
VIPAS39	-1.4128	-1.5666	-0.18538	-0.095255	0.090437	0.35422	-0.083941	1.9146	0.16454	0.82016
VPS33B	-1.2188	-1.4721	-0.68359	-0.41652	0.066756	0.45454	0.3169	1.9094	0.20139	0.84198
NAGK	-1.4208	-1.5733	-0.60114	0.094883	1.0522	-0.2792	-0.090227	1.205	1.1146	0.49797
SEPT8	-1.328	-1.2343	-0.7101	0.16101	0.33257	-0.40484	-0.47759	1.5961	1.0206	1.0446
C19orf54	-0.74586	-1.2549	-0.56935	0.00051294	-0.66472	0.81702	-0.21945	2.3092	0.13891	0.18868
GSN	-1.0553	-1.041	-0.56932	-0.25833	-0.40416	0.47569	-0.28471	2.2942	0.82305	0.019944
C6orf211	-0.57778	-1.1771	-0.55735	0.16594	-0.34422	-0.17501	-0.0034535	2.6007	0.15097	-0.082643
FAM102A	-0.72577	-1.3552	-0.71632	-0.21944	-0.43193	0.13178	0.22007	2.3435	0.53021	0.2231
P2RX4	-0.43303	-1.5032	-0.1429	-0.25765	-0.35045	0.24776	-0.52614	2.4195	0.24315	0.30296
PLEKHF2	-0.35736	-1.6204	-0.14695	-0.10496	0.09565	0.015816	-0.70379	2.2756	0.7101	-0.16366
RAB4B	-1.0092	-0.87808	-1.0447	-0.69586	-0.39189	0.91154	-0.021401	1.7879	1.1968	0.14484
SECISBP2	-0.71598	-1.054	-1.0259	-0.050126	-0.77735	0.6215	0.35922	2.0127	1.0051	-0.37514
AP4M1	-1.3502	-0.62526	-0.9998	-0.019912	-0.36801	-0.18996	0.90965	2.1389	0.45834	0.046261
PQLC3	-1.1713	-0.26823	-1.4488	-0.27805	-0.2493	0.32359	0.84912	2.0185	0.55503	-0.3306
VPS18	-1.6159	0.080359	-1.2837	0.15986	-0.28627	-0.26443	1.1017	1.8169	0.14035	0.15114
DSCR3	-1.2908	-0.70037	-0.95232	0.64701	-0.55259	0.26528	0.42382	2.1791	-0.33662	0.31753
VPS11	-1.4101	-0.057282	-1.15	0.3243	-0.7456	0.22395	0.70807	2.1009	-0.16905	0.17482
HSPB1	-1.3714	-0.71482	-0.67758	-0.16687	0.48579	-0.72091	0.13946	2.2272	0.21729	0.58185
KIAA0513	-1.2146	-0.99521	-0.40203	-0.16105	0.286	-0.53616	0.62875	2.3611	-0.041232	0.074434
UNC45A	-0.88852	-0.93022	-0.39646	-0.47511	-0.075064	-0.85352	0.26902	2.2864	0.10592	0.95752
VAV2	-0.95654	-1.1584	-0.52495	-0.2799	-0.64752	-0.072109	0.81817	2.085	-0.21363	0.94986
VPS33A	-1.5067	-0.63886	-0.50636	0.16638	-0.71028	-0.2143	0.58031	2.1609	-0.024296	0.69321
AKT1	-1.1365	-1.415	-0.75005	0.42967	0.17706	0.20263	0.27462	2.1713	0.24194	-0.19566
ARPP19	-1.1844	-1.6159	-0.94751	0.95531	0.17598	0.35118	0.31862	1.6386	0.4602	-0.15213
AKT2	-1.7292	-1.2854	-0.62546	0.8795	0.32613	0.20587	0.87863	1.4967	0.029744	-0.17647
INPPL1	-1.5902	-1.6489	-0.37033	0.80211	0.47007	0.68024	0.37493	1.4562	-0.010618	-0.16347
AP4B1	-1.7092	-1.0105	-0.64537	0.25422	0.013473	0.12436	0.55013	2.0017	0.49577	-0.074541
AP4E1	-2.0054	-0.58484	-0.64547	0.14601	0.38095	0.38399	0.046587	1.956	0.27457	0.0477
PHPT1	-1.8421	-1.2143	-0.50932	0.2447	0.25103	0.53805	0.22122	1.808	0.16219	0.34057
ATP6V0C	-1.8421	-0.8432	-0.32579	0.51071	0.37113	-0.32178	0.48505	1.7652	0.7772	-0.57644
SNX4	-2.1679	-0.95289	-0.41009	0.79825	0.24792	-0.041666	0.85168	1.0087	0.86161	-0.19561
ALS2	-1.2187	-1.6969	-0.21944	1.4062	-0.33047	-0.30104	0.54427	1.4196	0.29774	0.098722
TMED8	-1.4771	-1.445	-0.29543	1.4335	-0.36024	-0.058172	0.45346	1.1012	0.96676	-0.31904
WWP1	-1.6634	-0.79204	0.1806	1.4837	-0.46139	-0.50571	0.5126	1.4915	0.31624	-0.56214
TBK1	-1.2437	-1.3557	0.33051	1.7189	-0.72045	0.016182	-0.51291	1.2841	0.20013	0.28288
TSC22D1	-1.5104	-1.7106	0.34902	1.5246	-0.18151	0.38521	-0.061574	1.0514	0.2254	-0.071557
VHL	-1.7911	-1.4385	0.36282	1.5904	-0.1061	0.10888	-0.26687	0.85326	0.38323	0.30401
ATXN3	-1.4539	-1.3758	0.023319	0.61576	-0.37743	-0.18403	-0.32355	1.6992	1.1872	0.18918
ULK3	-1.2485	-1.3871	-0.29298	0.60463	-0.50155	-0.39137	0.33813	1.9554	0.847	0.076382
DTWD2	-1.647	-1.1989	-0.039034	0.52966	-0.035179	-0.28491	-0.1939	1.994	0.22724	0.64813
PPP1R7	-1.2979	-1.8469	0.32709	0.52507	0.10325	-0.45288	-0.13239	1.6148	0.64335	0.51657
CHMP2B	-1.2118	-2.0083	-0.20219	1.1581	0.27418	-0.32391	0.13589	1.1744	0.37046	0.63316
NAPB	-1.2617	-1.7655	-0.25384	1.0885	0.59303	-0.28467	-0.1728	1.5679	0.218	0.27101
UBFD1	-1.3171	-1.5186	0.33873	0.792	0.04456	-0.46974	0.38379	1.9323	-0.31223	0.12617
CCZ1	-1.0058	-1.4768	-0.56187	1.415	-0.60518	-0.053807	-0.4048	0.86388	1.4328	0.39656
EML3	-1.2337	-1.7938	-0.30829	1.0051	0.30753	-0.28548	-0.20278	0.74982	1.5226	0.23902
PEF1	-1.1592	-1.665	-0.98429	0.61753	0.71241	0.36678	-0.26631	0.99351	1.3539	0.030604
YWHAE	-1.2082	-1.6849	-0.71392	1.035	0.44422	0.5404	-0.80278	0.99267	0.81013	0.58741
CSRP2BP	-1.2255	-1.8748	0.2938	1.2111	-0.59839	0.63638	0.41946	1.2183	0.0036913	-0.084066
GAPVD1	-0.95851	-1.8659	-0.26579	1.2003	-0.62724	0.92485	0.41467	1.2858	0.01132	-0.11956
PDCL	-0.91439	-1.7315	-0.40047	1.542	-0.25733	0.84392	-0.34443	1.1819	0.44657	-0.36624
TXNDC17	-1.0138	-1.9242	-0.50489	1.6477	-0.19185	0.59798	-0.024358	0.66348	0.67783	0.072037
TRAPPC1	-0.90248	-1.7966	-0.12877	1.5409	-0.94449	0.74441	-0.14058	0.82573	0.62184	0.18005
TRAPPC4	-1.1131	-1.882	-0.017459	1.17	-0.68541	1.0544	-0.16119	0.78037	0.79347	0.060962
SMS	-1.2306	-1.7859	-0.68914	1.1014	-0.037914	1.266	-0.17773	0.61093	0.74932	0.19365
OCRL	-1.2556	-1.3278	-0.38386	1.7666	-0.74249	0.32371	-0.41766	0.51302	0.50037	1.0237
SNX12	-1.7783	-1.3252	-0.23369	1.5849	-0.30464	0.61777	-0.23814	0.43026	0.72564	0.52143
STAM	-1.3374	-1.3567	-0.19109	1.6563	-0.2146	0.92145	-0.75199	-0.19617	0.80895	0.66122
CAPNS1	-2.1115	-1.2179	-0.33631	0.56119	-0.17785	0.76202	0.48804	0.18081	1.0543	0.7972
HEATR5A	-1.9976	-1.1911	-0.59921	0.89645	0.085965	-0.05552	1.0336	0.26792	0.95519	0.60429
PMVK	-2.4419	-0.55735	-0.35024	0.94918	-0.11569	0.074986	0.64207	0.27729	0.89643	0.62525
DYRK1A	-1.8646	-0.88476	-1.3276	0.90158	0.0095115	0.41324	0.73869	0.43776	0.87375	0.70245
DENND4C	-1.3022	-0.79042	-1.2566	1.1875	-0.79054	-0.21878	1.1697	0.20933	0.89307	0.89887
GRHPR	-1.2662	-0.21679	-1.4003	1.359	-0.81015	-0.49698	0.70843	0.064037	1.1105	0.94853
MTM1	-1.6126	-0.92447	-0.79021	1.0116	-0.92619	0.16928	0.46771	0.41037	1.4256	0.76895
TROVE2	-1.5695	-0.85448	-1.0036	1.245	-0.85467	0.00976	0.90138	1.0094	0.737	0.37977
ZDHHC9	-1.1374	-0.63255	-1.4498	0.98823	-0.89545	-0.30413	1.0252	1.0919	0.99366	0.32033
FAM160B2	-1.1079	-1.3403	-0.72004	1.5333	0.33253	-0.66421	0.28127	0.96183	-0.44097	1.1646
SPG21	-1.2395	-1.1427	-0.87652	1.8428	0.050888	-0.65365	0.15409	1.0175	0.15363	0.69354
PDXK	-1.0468	-1.3911	-1.0247	1.269	-0.55931	-0.29606	0.68385	0.88446	0.21007	1.2705
KBTBD2	-0.68772	-1.6652	-1.5308	1.1798	0.32957	-0.12662	0.36555	0.82257	0.98975	0.32304
RABGEF1	-0.87122	-1.6659	-1.5347	0.96172	0.35179	0.23549	0.65391	1.1054	0.20098	0.56252
WHAMM	-0.168	-1.1793	-2.071	1.6115	-0.013041	0.34958	0.29767	0.51935	0.30531	0.3479
ACTR1B	-0.67694	-0.86223	-0.78073	-1.2473	-0.27282	0.57467	0.30952	1.2461	-0.17422	1.884
INPP4A	-0.70139	-0.12666	-1.3221	-1.0213	-0.18804	0.97349	-0.0066293	1.3426	-0.5623	1.6122
PUM2	-1.1539	-0.59146	-1.3417	-0.76233	0.45608	0.66364	0.46121	1.0297	-0.44098	1.6798
ENDOG	-1.1744	0.38104	-1.2592	-0.20364	-0.45628	0.66929	-0.12019	1.2729	-0.81203	1.7024
TOM1L2	-0.82247	-0.27688	-1.6994	-0.019437	-0.060933	0.13939	-0.13423	1.8609	-0.31235	1.3254
MAGI1	-1.6149	0.024234	-0.93605	-0.7699	1.1367	0.64822	-0.22755	0.7166	-0.51872	1.5414
PUM2	-1.3484	-0.00194	-0.99771	-1.0103	0.77013	0.36225	0.099101	0.48846	-0.37473	2.0131
MT1L	-1.4516	0.27365	-1.0728	-0.45126	1.1318	0.13665	-0.32964	-0.25375	0.019334	1.9976
C7orf43	-0.97343	0.24869	-0.43905	-0.76126	-0.4367	-0.59228	-0.45726	1.0405	0.050736	2.32
PALM3	-0.60039	-0.17621	-0.56135	-0.11728	-0.32183	-0.77433	-0.87733	0.95135	0.048517	2.4289
TRPM7	-0.9387	0.50473	-0.53276	0.10082	0.13599	-1.0341	-0.91157	1.0765	-0.46815	2.0672
IGFBP5	-0.93091	-0.55391	-0.95604	-0.52046	0.1139	-0.30696	-0.14451	1.2864	-0.18408	2.1966
VPS13C	-1.4251	-0.50913	-1.1777	-0.29595	0.73278	-0.34651	0.0053665	0.87609	0.19815	1.942
CRYL1	-0.50174	-0.7107	-0.50586	-0.1934	-0.43641	-0.25429	-0.88576	1.9855	-0.20757	1.7103
RDX	-0.52413	-1.0182	-0.38921	-0.038403	0.042745	-0.11592	-1.011	1.7423	-0.48483	1.7966
WFS1	-1.0647	-0.96221	-0.52582	-0.14354	0.20504	-0.13076	-0.68606	1.8012	-0.17778	1.6846
FBXW2	-1.1263	-1.013	0.14537	0.36036	0.026353	0.013011	-0.80669	1.7459	-0.82145	1.4764
USP8	-1.4072	-0.82875	0.023365	-0.1284	0.016946	-0.24198	-0.03439	1.8918	-0.74699	1.4556
ALAD	-1.4293	-1.4784	-0.36664	-0.35746	0.2683	0.081504	0.77457	1.3958	-0.23924	1.3509
ARIH1	-0.98321	-1.2433	-0.65958	-0.3804	-0.04397	0.42779	0.56478	1.7236	-0.76505	1.3593
CORO1B	-0.94943	-1.1888	-0.51742	0.30618	-0.37117	0.24684	0.35663	1.1461	-0.96579	1.9369
HECTD3	-1.2797	-1.0522	-1.0617	0.49633	0.77842	0.24214	0.42827	0.89489	-0.96415	1.5177
PPIL3	-1.2352	-0.64093	-0.84655	0.12277	0.7343	0.082184	0.75108	1.0273	-1.4408	1.4459
APEH	-1.353	-1.3209	-0.59326	0.01911	0.049745	-0.53827	1.1657	0.84968	0.08032	1.6409
TKT	-1.5037	-1.2521	-0.95387	0.42723	0.21281	-0.14204	0.9168	0.21673	0.344	1.7342
DIP2A	-1.6989	-1.1199	-0.88243	0.025742	0.24392	0.25461	0.5728	0.91049	0.020898	1.6728
EIF4E2	-1.5532	-1.0046	-0.22851	0.62116	0.068768	-0.59192	1.049	0.69185	-0.70042	1.6479
CCDC93	-1.6452	-0.94756	-0.29386	0.69668	0.29408	1.4341	-0.67787	1.2936	-0.59456	0.4407
TSC1	-1.389	-1.158	-0.2521	0.85713	-0.49317	1.2753	-0.49434	1.2084	-0.57008	1.016
MTMR14	-1.2914	-1.1117	-0.38558	0.68967	-0.15068	0.54518	-0.074447	1.8191	-0.97841	0.93819
COMMD4	-1.7826	-1.6872	-0.289	0.59855	0.63535	0.83057	-0.076268	1.0715	0.20431	0.49472
TBCC	-1.5647	-1.6242	-0.64734	0.54461	0.58995	1.097	-0.27224	1.0094	0.13612	0.7315
TSC2	-1.9317	-1.2324	-0.46234	0.37737	0.24916	1.1604	-0.053464	1.3317	0.12066	0.44058
RNF123	-1.6403	-1.6429	-0.33559	-0.24348	0.83756	0.80626	0.17078	1.3405	0.2807	0.42647
LPIN2	-2.004	-0.90986	-0.33229	0.22272	1.0822	1.0429	-0.19585	1.1289	-0.47772	0.44287
GLOD4	-1.8555	-1.3255	-0.43952	1.0773	-0.19265	0.69619	0.010935	0.77735	0.1074	1.144
PITPNA	-1.9912	-1.3842	-0.18197	1.0263	0.4709	-0.15917	0.23455	0.71593	0.18001	1.0888
TBC1D9B	-1.5624	-1.5385	-0.60078	0.88882	0.49978	0.31194	-0.045365	0.96025	-0.22499	1.3112
TBC1D9B	-1.3574	-1.547	-0.83193	0.87554	0.55381	0.33076	-0.16495	0.99926	-0.20741	1.3493
ZER1	-1.6507	-1.1204	-0.76806	0.3742	0.23203	0.58819	-0.006501	1.4744	-0.37759	1.2545
ANKFY1	-0.98067	-0.49992	0.033877	1.3532	-0.41702	0.2432	-0.36219	0.24297	-1.4587	1.8453
DPH7	-0.80029	-1.3439	-0.15545	1.195	-0.31246	0.21771	-0.60495	0.4982	-0.66772	1.9739
ZFYVE16	-1.1208	-1.5593	-0.073672	1.3024	-0.095143	0.5104	-0.44068	0.42693	-0.57367	1.6235
SARS	-1.2711	-1.6991	0.034475	0.74744	-0.13053	0.60703	-0.44431	0.71755	-0.23077	1.6693
RAB31	-1.1453	-1.6176	-0.13751	1.5298	-0.29938	0.049888	0.15996	0.97797	-0.63132	1.1134
DRG2	-1.1838	-1.6675	-0.58788	1.2686	0.30966	0.81301	-0.12402	0.26574	-0.44405	1.3503
KDM3B	-0.93849	-1.1368	-1.0994	1.2774	0.43458	0.76776	-0.073232	0.52366	-1.0816	1.3262
SNX3	-1.0191	-1.1342	-1.0422	1.6972	0.56174	0.43215	-0.16889	0.11532	-0.72308	1.2811
NEDD4	-1.2829	-0.97	-0.79978	1.5308	-0.21648	0.73097	-0.1274	0.69224	-0.8407	1.2833
NEDD4	-1.227	-0.85686	-0.35472	1.6186	-0.137	1.0234	-0.86521	0.494	-0.82472	1.1295
VAMP7	-1.7398	-0.91894	0.17471	1.4053	-0.10091	0.76927	-0.55953	0.36161	-0.66862	1.2769
DMTN	-0.37994	-0.93896	-1.4138	1.2046	0.26775	0.019822	-0.30992	-0.0091357	-0.47319	2.0327
MAP3K7	-0.648	-1.0378	-0.68139	1.57	0.075608	-0.26678	-0.76388	0.63812	-0.64409	1.7583
NIF3L1	-0.44258	-1.3024	-1.4562	0.7651	-0.34294	0.63292	-0.29728	0.7379	-0.094983	1.8005
NIF3L1	-0.70649	-1.2085	-1.113	0.28207	0.08986	0.63397	-0.4972	0.67246	-0.28229	2.1291
ABHD14B	-1.1065	-1.6172	-0.52368	-0.43724	-0.12987	0.98888	1.8006	0.41322	0.52986	0.081947
ARRB1	-1.1555	-1.4833	-0.28229	-1.2908	0.4987	0.79084	1.3685	0.41067	0.84531	0.29788
PTPRU	-0.93086	-1.3852	-0.35666	-0.80131	-0.035719	0.20372	2.2366	0.4674	0.28307	0.31902
WASL	-1.0186	-1.6305	-0.4699	-0.70595	0.49286	0.44025	1.9571	0.42668	0.31079	0.19735
RTFDC1	-0.81813	-1.7026	-0.38438	-0.5292	0.1832	0.017129	1.9875	0.75774	-0.15972	0.64846
RPS6KA5	-0.93732	-1.3311	-0.077253	-0.26183	-0.27618	0.083544	2.4326	0.51247	-0.047034	-0.09793
TRMT10A	-1.0245	-1.1627	-0.3619	-0.3894	0.15112	0.18881	2.3875	0.57623	0.098926	-0.46405
CNDP2	-1.7102	-1.2243	-0.17494	0.23849	-0.34788	0.36145	1.9049	-0.062986	0.71844	0.29704
EIF4E	-1.0163	-1.473	0.1526	0.49233	-0.4831	0.42966	2.19	0.032863	-0.5255	0.20041
MSTO1	-1.349	-1.5619	0.071644	0.079245	-0.0082015	0.46423	2.0056	-0.069722	-0.27337	0.64154
UHRF1BP1L	-0.88152	-1.3291	-0.31574	-0.010204	-0.026422	0.60187	2.3898	-0.31219	-0.35702	0.2405
LACTB2	-1.2438	-1.0346	-0.0010609	0.48222	-0.20422	-0.21714	2.4488	-0.11629	-0.20684	0.092882
ARFGEF2	-0.94467	-1.8679	-0.24219	-0.3055	-0.31489	0.51425	1.6019	0.58142	-0.11166	1.0892
PAAF1	-0.46695	-2.1003	0.061018	-0.25628	-0.29177	0.17761	1.5533	0.89621	-0.44882	0.876
KLHL11	-0.50907	-2.0757	-0.12493	0.13713	0.013055	0.51311	1.9062	0.29142	-0.52526	0.37405
DDAH1	-0.98925	-2.0223	0.055948	0.23867	-0.83834	0.76723	1.1709	0.43192	0.19266	0.99264
PPP4R2	-0.45651	-2.1008	-0.20403	0.25543	-0.92725	0.70533	1.4445	0.82248	0.080456	0.38032
CCDC132	-1.0699	-1.6453	-0.90306	0.23895	-0.2225	0.34841	1.8581	0.41928	0.48079	0.49524
VPS51	-1.285	-1.7498	-0.61171	0.12159	-0.030901	0.52088	1.4328	0.61789	-0.1022	1.0865
VPS52	-1.5299	-1.6127	-0.60587	0.24182	-0.010393	0.32618	1.3994	0.66772	0.066371	1.0574
AKR1A1	-0.79652	-1.5871	-0.82259	0.04654	0.14481	-0.57559	1.9	0.40173	0.97142	0.31729
DDT	-1.4938	-1.4442	-0.49205	0.0097007	0.54143	-0.12601	1.6747	0.1205	1.1438	0.065944
PPIA	-1.145	-1.4911	-1.0642	0.36334	0.047827	-0.12555	1.4386	0.0058437	1.2789	0.69133
PPIA	-1.0122	-1.7184	-0.8936	0.57021	-0.19022	-0.21043	1.1533	0.073296	1.0925	1.1355
PURB	-1.0718	-1.5384	-1.2299	-0.014484	0.514	-0.36088	1.0874	0.60478	0.93242	1.0769
CMPK1	-1.177	-1.5022	-0.64634	0.00091172	0.58248	0.18752	0.8507	-0.54572	1.8368	0.41294
FAF1	-0.7361	-1.7866	-0.87794	0.46026	0.53826	-0.13925	1.4498	-0.48371	1.2336	0.34175
CNOT4	-1.1395	-2.1828	-0.50848	0.0094808	0.37559	0.38838	0.68062	0.63454	0.83071	0.91138
NR2C2AP	-1.5129	-1.8944	-0.67804	0.54207	0.35578	0.32505	0.64318	0.60695	0.97184	0.64042
PPM1B	-0.8998	-2.0641	-0.55194	-0.46242	0.13145	0.40831	0.63356	0.88066	0.64674	1.2776
TBC1D17	-0.87444	-2.11	-0.39812	-0.64515	0.60689	0.46872	0.79244	0.41394	0.48725	1.2585
MIF4GD	-0.89689	-2.135	-0.54151	0.18561	0.29492	0.76351	1.4041	-0.18994	0.63008	0.48505
PDAP1	-0.80252	-2.0041	-0.85763	-0.42493	0.72057	0.6371	1.3486	0.29779	0.50919	0.57588
POLR2M	-0.85103	-2.0428	-1.0492	0.093882	1.0017	0.44478	0.8894	0.11649	0.7739	0.62292
ADK	-0.16954	-1.9585	-0.015617	-0.47006	-0.68308	-0.19378	1.8823	0.47954	0.57437	0.55432
GGA3	-0.69332	-1.7114	0.017971	-0.24274	-0.83215	0.0098806	1.909	0.72377	0.81886	5.6136e-05
PPA1	0.043234	-1.9795	0.12291	-0.54563	-0.55383	0.20524	1.9011	0.055752	0.88486	-0.13412
ASPSCR1	-0.16772	-2.1422	-0.041004	-0.94639	-0.23376	0.4662	1.5336	0.64989	0.28173	0.59968
GPI	-0.5308	-2.0432	-0.20144	-0.27799	-0.56829	-0.11907	1.3641	0.45756	0.66186	1.2572
NACC1	-0.45571	-2.2406	-0.2328	-0.43917	-0.45889	0.58019	1.2193	0.41596	0.90364	0.70805
ARFGEF3	0.092871	-1.3027	-0.5977	-0.87516	-1.0786	-0.048129	1.7902	1.1977	0.5306	0.29094
C16orf13	0.41598	-1.4752	-0.82484	-0.70874	-1.013	-0.3446	1.503	1.026	0.73348	0.68794
CDAN1	0.47122	-1.6906	-0.68418	-0.66721	-0.97818	0.3493	1.7497	0.20873	0.45874	0.78251
SEC23B	0.52817	-1.8705	-0.17601	-0.88034	-0.85187	0.33677	1.7085	0.51882	0.066261	0.62024
SEC24C	0.30443	-1.7525	-0.23219	-0.90893	-0.62797	-0.020734	1.8294	0.88031	-0.12318	0.65138
BIRC6	0.27923	-2.1472	-0.58892	-0.56987	0.22186	-0.092756	0.9978	0.38755	-0.04783	1.5601
PTS	0.94782	-2.1338	-0.8412	-0.29352	-0.14259	0.3432	0.89564	0.11139	-0.21242	1.3255
KIAA0101	0.16753	-2.5451	-0.033012	0.22744	-0.26219	0.039031	1.1047	-0.012979	0.27867	1.0359
LIG1	0.39357	-2.166	-0.29435	-0.40001	-0.24971	-0.26112	1.3174	-0.22613	0.61864	1.2676
UEVLD	0.093743	-2.084	0.068495	-0.49412	-0.53658	0.22989	0.96338	-0.45178	0.61443	1.5965
FBXL18	0.088647	-1.8819	-1.0829	0.13184	-0.5395	0.060551	1.0269	-0.10211	0.7893	1.5092
PPM1B	-0.22792	-1.6335	-0.81236	-0.95352	-0.070901	-0.24234	0.93393	0.45607	0.8792	1.6714
SOS1	-0.19632	-1.624	-1.2244	-0.45647	-0.095201	-0.14886	1.2169	0.13263	0.86798	1.5277
PCBP1	0.10522	-2.2123	-0.83175	-0.33044	0.24167	-0.10954	1.54	0.53391	0.55649	0.50675
TUBGCP6	0.079753	-2.1517	-0.66572	-0.2351	0.4249	0.66856	1.6793	-0.43777	0.42492	0.21285
FNBP1L	-1.444	-1.2755	0.67633	-0.38139	0.28673	-0.57565	1.9277	-0.1036	0.71789	0.17158
XYLB	-1.0579	-1.472	0.50659	-1.2773	0.0129	0.14451	1.6968	0.092302	0.65667	0.69735
FPGT	-0.74272	-1.5479	0.45017	-0.34249	-0.34746	-0.35392	1.4043	-0.7687	1.5688	0.68001
HEATR3	-0.86924	-1.1793	0.52954	-0.37063	-0.037413	-0.3269	1.2904	-1.3801	1.2473	1.0964
RAD1	-0.91126	-1.7048	0.31336	-0.68138	0.92323	0.11378	0.82809	-0.96662	1.1849	0.90072
GABPB1	0.63408	-1.6666	0.19215	-0.41659	0.8309	-0.46727	1.5114	-1.2867	0.85269	-0.18404
IMPDH1	-0.060325	-1.4745	-0.090641	-1.0183	0.70497	-0.24843	2.2117	-0.27684	0.45654	-0.20422
ADRBK1	0.38949	-2.1376	0.4435	-0.57317	-0.3629	-0.24761	0.96604	0.61791	1.4105	-0.50612
FAM175B	0.24983	-2.2564	0.059466	-0.30347	-0.41281	0.10765	1.2104	0.95038	0.94651	-0.55155
NUBP2	0.10656	-1.9441	-0.061855	-0.49614	-1.1069	0.031046	1.1635	0.99054	1.1738	0.14354
GTF2A1	0.029424	-1.7947	0.25465	0.23441	-0.38661	0.31338	1.3569	-0.066074	1.3642	-1.3056
TCEB1	0.052192	-1.6482	0.32034	0.16149	-0.37604	0.13795	0.96024	0.8105	1.2613	-1.6798
UBE2I	0.46616	-1.7674	0.15614	-0.22902	-0.92486	0.26547	1.3678	0.49313	1.2104	-1.0379
UFD1L	0.20705	-1.659	-0.0026092	0.051923	-0.92789	0.14074	1.1138	1.0026	1.2762	-1.2028
AHSA1	-0.83129	-2.1726	0.72028	0.66416	-0.13965	-0.36675	1.3696	0.62323	0.38425	-0.25123
CCDC97	-1.0748	-2.0676	0.76507	0.61793	-0.47356	0.054556	0.99985	0.40881	1.0603	-0.29051
GNPNAT1	-1.1219	-1.8808	0.62824	0.62403	-0.44735	-0.50719	1.095	0.82597	1.0141	-0.23023
EIF2AK1	-0.16258	-1.9126	-0.04389	0.68985	-0.76477	-0.36631	1.4248	0.55352	1.1889	-0.60697
GDI2	-0.39118	-2.2288	0.33228	0.62996	-0.42605	0.10133	1.0647	0.023965	1.3543	-0.4605
ANP32B	-0.73581	-2.1301	-0.011003	1.0041	-0.63601	0.26322	0.77242	1.0259	0.81098	-0.36374
C1orf50	-0.70497	-2.115	0.35547	0.69633	-0.49868	0.6359	0.36504	1.1914	0.81511	-0.74063
PSME1	-0.27033	-1.9385	-0.33775	0.65444	-0.6764	0.49943	0.92266	1.1432	0.94017	-0.93683
TCEB2	-0.32078	-2.3438	0.14326	0.35521	-0.44125	0.37052	0.91197	1.0213	0.86033	-0.55677
ENOPH1	-0.10764	-2.3898	0.11031	0.64083	-0.54031	0.63831	1.1057	0.77599	0.27255	-0.50594
PRMT5	-0.35973	-2.4303	0.056458	1.1624	-0.36621	0.47503	0.68313	0.74216	0.35906	-0.32203
WDR77	-0.18607	-2.3195	0.26644	1.0895	-0.58114	0.57053	0.83613	0.64971	0.3321	-0.65765
IPO4	0.20356	-2.2833	0.16315	0.67255	-0.55812	0.10134	1.03	1.1464	0.23986	-0.71538
THUMPD1	-0.75028	-2.0419	0.38528	0.36019	-0.37648	-0.31162	1.0117	1.5255	0.53485	-0.33723
XPOT	-0.33123	-2.1484	-0.015762	1.0762	-0.1476	-0.10339	0.6463	1.4329	0.30992	-0.7189
C20orf27	-0.4788	-2.1621	0.69886	0.88435	-0.064564	0.11029	1.4199	0.29544	0.12696	-0.83036
DPH2	-0.54262	-2.3095	0.43404	1.2924	0.093373	-0.055791	1.0528	0.10657	0.39968	-0.47086
HSP90AA1	-0.44453	-2.5603	0.86605	0.90882	0.069147	0.1842	0.22624	0.55729	0.4516	-0.25852
PTGES3	-0.34493	-2.5238	0.75953	0.86718	-0.35529	0.081379	0.75893	0.53517	0.39608	-0.17422
PRPF39	-0.38258	-2.2308	0.6446	1.2527	-0.46234	-0.46538	0.82015	0.87907	0.059233	-0.11459
ARNT	-0.75761	-1.59	-0.36686	1.2803	-0.096585	-0.27347	1.1213	0.20039	1.3872	-0.90456
RMI2	-0.70994	-1.7582	-0.20822	1.3954	-0.54349	0.15027	0.71417	0.46648	1.3067	-0.81319
LRRC47	-0.44346	-2.3631	-0.4216	1.2807	0.29624	0.22797	0.76499	0.36005	0.65006	-0.35182
RNGTT	-0.65521	-1.8731	-0.086723	1.8353	-0.078649	-0.071116	0.76863	0.53373	0.41783	-0.79069
BOLA2	-0.49652	-1.7021	-0.56962	0.58677	-0.78562	-0.26386	1.1919	1.2516	1.1695	-0.38209
FLYWCH2	-0.85459	-1.7155	-0.57163	0.54709	-0.75465	-0.0025397	0.99361	1.3434	1.1493	-0.13454
PSME2	-0.56325	-2.0926	-0.63155	0.67629	-0.62847	0.26256	0.80319	0.70683	1.3511	0.11595
ECE2	-0.34612	-1.8893	-0.91649	0.66643	-0.16791	-0.030267	1.4611	0.47618	1.197	-0.45057
